2024-06-15 17:23:32.107 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:23:32.135 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:23:32.135 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:23:48.385 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:23:48.410 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:23:48.410 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:28:19.183 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:28:19.223 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:28:19.223 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:28:39.362 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:28:39.394 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:28:39.394 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:29:00.565 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:29:00.594 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:29:00.594 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:29:06.439 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:29:06.535 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:29:06.535 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:29:20.735 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:29:20.771 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:29:20.771 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:29:30.937 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 17:29:30.969 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:29:30.969 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:19:40.391 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:19:40.517 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:19:40.517 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:20:25.417 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:20:25.464 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:20:25.464 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:21:08.877 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:21:08.938 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:21:08.938 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:26:43.126 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:26:43.172 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:26:43.172 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:27:11.190 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:27:11.216 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:27:11.216 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:27:58.728 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:27:58.759 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:27:58.759 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:28:12.017 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:28:12.047 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:28:12.047 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:28:25.090 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:28:25.106 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:28:25.106 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:28:35.170 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:28:35.188 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:28:35.188 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:29:24.469 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:29:24.497 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:29:24.497 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:36:45.323 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:36:45.366 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:36:45.366 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:36:53.331 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:36:53.368 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:36:53.368 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:37:29.936 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:37:29.971 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:37:29.971 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:44:12.587 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:44:12.744 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:44:12.744 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:45:20.517 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:45:20.559 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:45:20.559 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:46:07.094 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:46:07.121 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:46:07.121 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:47:26.798 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:47:26.859 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:47:26.859 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:47:59.110 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:47:59.148 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 18:47:59.149 -05:00 [INF] FIN | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:48:29.807 -05:00 [INF] INICIO | ViviendaRepository - GetAllViviendasAsync
2024-06-15 18:48:29.860 -05:00 [INF] FIN | Database - ExecuteReaderAsync
