2024-06-12 22:31:37.422 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 22:31:37.422 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:37.424 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:37.425 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 22:31:37.425 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:53.411 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:53.413 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 22:31:53.413 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:53.415 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:53.416 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 22:31:53.416 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:53.418 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:53.419 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 22:31:53.419 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:56.721 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:56.722 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 22:31:56.722 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:56.725 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:56.726 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-12 22:31:56.726 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-12 22:31:56.728 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
