2024-06-15 15:04:06.296 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:04:06.297 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:04:06.302 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:04:06.302 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:04:06.303 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:04:06.303 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:04:06.309 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:04:06.317 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:04:06.317 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:05:25.940 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:05:25.945 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:05:25.949 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:05:25.967 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:05:25.967 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:05:25.967 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:05:25.967 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:05:25.967 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:05:25.967 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:05:25.982 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:05:25.985 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:05:25.985 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:05:25.989 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:05:25.997 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:05:25.997 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:13:01.156 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:13:01.156 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:13:01.156 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:13:01.453 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:13:01.453 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:13:01.453 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:13:01.453 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:13:01.453 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:13:01.453 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:13:01.479 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:13:01.485 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:13:01.485 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:13:01.489 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:13:01.494 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:13:01.494 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:21:04.676 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:21:04.676 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:21:04.683 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:21:04.722 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:21:04.722 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:21:04.723 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:21:04.723 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:21:04.724 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:21:04.724 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:21:04.732 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:21:04.734 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 15:21:04.734 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:21:04.737 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-06-15 15:21:04.740 -05:00 [INF] FIN | Database - ExecuteReaderAsync
