2024-05-16 23:30:15.570 -05:00 [INF] FIN | UsuarioRepository - GetUsuarioByIdAsync
2024-05-16 23:30:38.063 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:30:38.065 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:30:38.065 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:30:38.963 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:30:38.964 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:30:38.964 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:30:49.783 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:30:49.785 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:30:49.785 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:30:52.476 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:30:52.478 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:30:52.478 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:30:52.936 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:30:52.937 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:30:52.937 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:30:53.354 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:30:53.355 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-05-16 23:30:53.355 -05:00 [INF] FIN | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:30:53.540 -05:00 [INF] INICIO | UsuarioRepository - GetAllUsuariosAsync
2024-05-16 23:30:53.543 -05:00 [INF] FIN | Database - ExecuteReaderAsync
