2024-06-15 17:00:07.275 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:00:07.348 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:00:07.354 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:00:07.354 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:00:12.149 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:00:12.156 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:00:12.156 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:00:12.243 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:00:12.247 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:00:12.247 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:00:20.948 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:00:20.953 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:00:20.953 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:00:21.045 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:00:21.049 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:00:21.049 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:03:55.152 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:03:55.160 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:03:55.160 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:03:55.233 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:03:55.242 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:03:55.242 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:05:41.993 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:05:41.998 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-15 17:05:41.998 -05:00 [INF] FIN | RegularizacionRepository - GetRegularizacionesAsync
2024-06-15 17:05:42.114 -05:00 [INF] INICIO | RegularizacionRepository - GetRegularizacionesAsync
