2024-06-05 22:44:14.182 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 22:44:14.197 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:44:14.197 -05:00 [INF] FIN | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-05 22:44:14.197 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoNegado
2024-06-05 22:44:14.198 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:44:14.198 -05:00 [INF] FIN | PendientesRepository - cambiarEstadoNegado
2024-06-05 22:44:14.198 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoVueltaASubir
2024-06-05 22:44:14.198 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:44:14.198 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoVueltaASubir
2024-06-05 22:44:14.198 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoAprobado
2024-06-05 22:44:14.199 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:44:14.199 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoAprobado
2024-06-05 22:44:14.199 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 22:44:14.204 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:44:18.659 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 22:44:18.659 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-05 22:44:18.661 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:44:18.661 -05:00 [INF] FIN | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-05 22:44:18.661 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoNegado
2024-06-05 22:44:18.663 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:44:18.664 -05:00 [INF] FIN | PendientesRepository - cambiarEstadoNegado
2024-06-05 22:44:18.664 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoVueltaASubir
2024-06-05 22:44:18.665 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:44:18.665 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoVueltaASubir
2024-06-05 22:44:18.665 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoAprobado
2024-06-05 22:44:18.667 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:44:18.667 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoAprobado
2024-06-05 22:44:18.668 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 22:45:00.252 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoRegularizacion
2024-06-05 22:45:00.252 -05:00 [INF] INICIO | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 22:45:00.254 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:45:42.064 -05:00 [INF] FIN | PendientesRepository - CambiarEstadoEnEspera
2024-06-05 22:45:43.839 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-05 22:45:43.861 -05:00 [INF] FIN | Database - ExecuteReaderAsync
2024-06-05 22:45:43.861 -05:00 [INF] FIN | PendientesRepository - cambiarEstadoEnSubsanacion
2024-06-05 22:45:44.660 -05:00 [INF] INICIO | PendientesRepository - cambiarEstadoNegado
2024-06-05 22:45:44.661 -05:00 [INF] FIN | Database - ExecuteReaderAsync
